city,date,year,month,day_of_year,LST_Day_Urban,LST_Day_Rural,LST_Night_Urban,UHI_Index
Bangalore,2023-03-30,2023,3,89,34.5695917642501,35.944256576475176,23.565230648355477,-1.3746648122250775
Bangalore,2023-04-07,2023,4,97,37.98676371622789,38.88604111790452,23.8614209996401,-0.8992774016766276
Bangalore,2023-04-15,2023,4,105,37.177849320846185,38.39219687512131,24.227597629948875,-1.2143475542751219
Bangalore,2023-04-23,2023,4,113,34.965644268330394,35.46491681867753,24.64689904602163,-0.49927255034713625
Bangalore,2023-05-09,2023,5,129,31.87915592692989,32.0472034609962,23.133594711731117,-0.1680475340663108
Bangalore,2023-05-17,2023,5,137,32.50996529862522,33.08942685726395,23.065389863099185,-0.5794615586387337
Bangalore,2023-05-25,2023,5,145,31.660519721746773,31.953954720968017,19.686202835634816,-0.29343499922124394
Bangalore,2023-06-02,2023,6,153,29.504765394059078,31.011547713144413,21.982889701988363,-1.5067823190853353
Bangalore,2023-06-10,2023,6,161,29.1649060771589,30.771157370496674,22.518955332099495,-1.606251293337774
Bangalore,2023-07-28,2023,7,209,27.288159564823236,28.665418967815697,20.671251133272918,-1.3772594029924612
Bangalore,2023-08-05,2023,8,217,29.095170670037948,31.164255000115347,18.50282671829625,-2.0690843300773984
Bangalore,2023-08-13,2023,8,225,31.086334234461717,32.33368637331114,21.786003162651724,-1.247352138849422
Bangalore,2023-08-21,2023,8,233,31.37463127690104,32.266588452369355,20.99367731092439,-0.8919571754683133
Bangalore,2023-09-06,2023,9,249,29.597598784194556,30.046575354266277,20.893278914240785,-0.4489765700717214
Bangalore,2023-09-30,2023,9,273,29.362580200147928,29.842676401104384,20.68547921922521,-0.48009620095645644
Bangalore,2023-10-08,2023,10,281,29.95248773550236,30.20173035363989,19.917155759275538,-0.24924261813752935
Bangalore,2023-10-16,2023,10,289,29.89858632419519,30.141151192814483,20.40373960532499,-0.2425648686192936
Bangalore,2023-10-24,2023,10,297,30.659422337946005,31.07938068901238,20.547022867102072,-0.4199583510663736
Bangalore,2023-11-01,2023,11,305,30.44560532241557,30.705622608079448,21.122028819387626,-0.26001728566387783
